title,year,country_1,country_2,country_3,language,duration,genre_1,genre_2,genre_3,production_company,director,description,actor_1,listing_1,actor_2,listing_2,actor_3,listing_3,budget_USD,usa_gross_income,worlwide_gross_income,avg_user_rating,votes,reviews_from_users,metascore,reviews_from_critics,male_avg_rating,male_votes,female_avg_rating,female_votes,avg_rating_<18yrs,votes_<18yrs,avg_rating_18-30yrs,votes_18-30yrs,avg_rating_30-45yrs,votes_30-45yrs,avg_rating_>45yrs,votes_>45yrs,positive_votes,neutral_votes,negative_votes,percentage_of_positive_reviews,overall_eval
Angel Heart,1987,UK, Canada, USA,"English, French",113,Horror, Mystery, Thriller,Carolco International N.V.,Alan Parker,A private investigator is hired by a man who calls himself Louis Cyphre to track down a singer named Johnny Favorite. But the investigation takes an unexpected and somber turn.,Mickey Rourke,B,Robert De Niro,A,Lisa Bonet,D,17000000.0,17185632.0,17185632.0,7.3,75034,252.0,61.0,138.0,7.3,53576.0,7.2,7069.0,6.8,10.0,7.2,8316.0,7.3,33051.0,7.4,18037.0,57792,15302,1940,0.77,1
The Last Emperor,1987,UK, Italy, China,"English, Mandarin, Japanese",163,Biography, Drama, History,Recorded Picture Company (RPC),Bernardo Bertolucci,The story of the final Emperor of China.,John Lone,D,Joan Chen,D,Peter O'Toole,D,28980000.0,43984230.0,43993508.0,7.7,86832,157.0,76.0,82.0,7.7,56246.0,7.8,11689.0,7.5,28.0,7.8,11769.0,7.7,35783.0,7.7,18569.0,75077,10310,1445,0.86,1
Licence to Kill,1989,UK, Mexico, USA,"English, Spanish",133,Action, Adventure, Thriller,Danjaq,John Glen,"Against the orders of MI6, James Bond goes rogue and seeks vengeance against a drug lord who left his best friend for dead after murdering his wife, while uncovering a drug plot posing as a hitman.",Timothy Dalton,D,Carey Lowell,D,Robert Davi,D,32000000.0,34667015.0,156167015.0,6.6,87869,345.0,58.0,94.0,6.6,64540.0,6.4,4964.0,7.4,52.0,6.8,13309.0,6.6,38323.0,6.5,15813.0,50348,34732,2789,0.57,0
All Dogs Go to Heaven,1989,Ireland, UK, USA,English,84,Animation, Comedy, Drama,Goldcrest Films International,"Don Bluth, Gary Goldman","A canine angel, Charlie, sneaks back to earth from heaven but ends up befriending an orphan girl who can speak to animals. In the process, Charlie learns that friendship is the most heavenly gift of all.",Burt Reynolds,D,Dom DeLuise,D,Judith Barsi,D,13800000.0,27100027.0,27100027.0,6.8,33464,95.0,50.0,18.0,6.6,18168.0,7.1,8970.0,7.1,23.0,6.9,8563.0,6.7,15404.0,6.2,2366.0,20153,12002,1309,0.6,1
Thelma & Louise,1991,USA, UK, France,English,130,Adventure, Crime, Drama,Pathé Entertainment,Ridley Scott,"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two girls escape for the crimes they committed.",Susan Sarandon,B,Geena Davis,D,Harvey Keitel,D,16500000.0,45360915.0,45360915.0,7.5,125242,317.0,88.0,123.0,7.3,71016.0,7.8,26091.0,7.7,32.0,7.7,18900.0,7.3,51729.0,7.5,24166.0,101201,21266,2775,0.81,1
Highlander II: The Quickening,1991,UK, France, Argentina,English,91,Action, Adventure, Fantasy,Davis-Panzer Productions,Russell Mulcahy,"In the future, Highlander Connor MacLeod must prevent the destruction of Earth under an anti-ozone shield.",Christopher Lambert,D,Sean Connery,B,Virginia Madsen,D,30000000.0,15556340.0,15556340.0,4.3,41781,278.0,31.0,70.0,4.2,29540.0,4.7,2417.0,3.2,4.0,4.2,2628.0,4.3,19124.0,4.1,9524.0,6873,18271,16637,0.16,0
Basic Instinct,1992,France, USA, UK,English,127,Drama, Mystery, Thriller,Carolco Pictures,Paul Verhoeven,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,Michael Douglas,A,Sharon Stone,C,George Dzundza,D,49000000.0,117727224.0,352927224.0,7.0,160061,326.0,41.0,136.0,7.0,107451.0,6.8,19525.0,6.8,35.0,7.1,23058.0,6.9,74622.0,7.0,26423.0,109224,45913,4924,0.68,1
The Crying Game,1992,UK, Japan, USA,English,112,Crime, Drama, Romance,Palace Pictures,Neil Jordan,"A British soldier kidnapped by IRA terrorists soon befriends one of his captors, who then becomes drawn into the soldier's world.",Forest Whitaker,B,Miranda Richardson,D,Stephen Rea,D,2898000.0,62548947.0,62548947.0,7.2,48197,164.0,90.0,69.0,7.2,31134.0,7.5,6178.0,7.2,7.0,7.2,4548.0,7.1,18876.0,7.4,13366.0,36105,9831,2261,0.75,1
Chaplin,1992,UK, France, Italy,English,143,Biography, Comedy, Drama,Carolco Pictures,Richard Attenborough,A movie about the troubled and controversial life of the master comedy filmmaker Charlie Chaplin.,Robert Downey Jr.,A,Geraldine Chaplin,D,Paul Rhys,D,31000000.0,9493259.0,9493259.0,7.6,50604,175.0,47.0,68.0,7.5,33103.0,7.8,8265.0,7.2,11.0,7.8,9509.0,7.5,21442.0,7.4,9504.0,42419,7462,723,0.84,1
The Piano,1993,New Zealand, Australia, France,"English, British Sign Language, Maori",121,Drama, Music, Romance,CiBy 2000,Jane Campion,"A mute woman is sent to 1850s New Zealand along with her young daughter and prized piano for an arranged marriage to a wealthy landowner, but is soon lusted after by a local worker on the plantation.",Holly Hunter,B,Harvey Keitel,D,Sam Neill,D,7000000.0,40157856.0,40168956.0,7.6,74207,265.0,89.0,86.0,7.4,39470.0,7.9,18700.0,8.3,12.0,7.6,10021.0,7.5,31224.0,7.6,16025.0,59255,11953,2999,0.8,1
