title,year,country_1,country_2,country_3,language,duration,genre_1,genre_2,genre_3,production_company,director,description,actor_1,listing_1,actor_2,listing_2,actor_3,listing_3,budget_USD,usa_gross_income,worlwide_gross_income,avg_user_rating,votes,reviews_from_users,metascore,reviews_from_critics,male_avg_rating,male_votes,female_avg_rating,female_votes,avg_rating_<18yrs,votes_<18yrs,avg_rating_18-30yrs,votes_18-30yrs,avg_rating_30-45yrs,votes_30-45yrs,avg_rating_>45yrs,votes_>45yrs,positive_votes,neutral_votes,negative_votes,percentage_of_positive_reviews,overall_eval
Joyeux Noël,2005,France, Germany, UK,"French, German, English, Latin",116,Drama, History, Music,Nord-Ouest Films,Christian Carion,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",Diane Kruger,C,Natalie Dessay,D,Benno Fürmann,D,22000000.0,1054361.0,17709155.0,7.7,25989,151.0,70.0,122.0,7.7,17271.0,8.0,4542.0,7.9,11.0,7.9,4892.0,7.7,11851.0,7.7,4678.0,22639,2969,381,0.87,1
Domino,2005,France, USA, UK,English,127,Action, Biography, Crime,New Line Cinema,Tony Scott,A recounting of,Keira Knightley,A,Mickey Rourke,B,Edgar Ramírez,D,50000000.0,10169202.0,22984628.0,5.9,62981,383.0,36.0,187.0,5.9,43908.0,6.3,8798.0,7.5,2.0,6.2,7754.0,5.9,35781.0,5.8,8348.0,27221,28844,6916,0.43,0
"Good Night, and Good Luck.",2005,USA, France, UK,English,93,Biography, Drama, History,Warner Independent Pictures (WIP),George Clooney,Broadcast journalist,Jeff Daniels,C,David Strathairn,D,Alex Borstein,D,7000000.0,31558003.0,54641191.0,7.4,91260,541.0,80.0,354.0,7.4,64423.0,7.5,10980.0,7.6,11.0,7.5,10360.0,7.4,46823.0,7.5,17331.0,74685,14250,2325,0.82,1
V for Vendetta,2005,USA, UK, Germany,English,132,Action, Drama, Sci-Fi,Warner Bros.,James McTeigue,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",Natalie Portman,A,Hugo Weaving,D,Stephen Rea,D,54000000.0,70511035.0,132511035.0,8.2,971038,2148.0,62.0,241.0,8.2,634048.0,8.2,133324.0,8.2,611.0,8.4,269867.0,8.1,393548.0,7.7,68162.0,864881,86343,19814,0.89,1
Rumor Has It...,2005,USA, Germany, Australia,"English, Spanish",97,Comedy, Drama, Romance,Warner Bros.,Rob Reiner,"Sarah Huttinger is a woman who learns that her family was the inspiration for the book and film ""The Graduate"" -- and that she just might be the offspring of the well-documented event.",Jennifer Aniston,A,Kevin Costner,A,Shirley MacLaine,D,70000000.0,43000262.0,88933562.0,5.5,50046,212.0,35.0,107.0,5.4,23463.0,5.6,17429.0,6.2,12.0,5.5,9671.0,5.4,22761.0,5.7,7446.0,14131,30023,5892,0.28,0
A History of Violence,2005,USA, Germany, Canada,English,96,Crime, Drama, Thriller,New Line Cinema,David Cronenberg,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core in this action thriller.",Viggo Mortensen,A,Maria Bello,C,Ed Harris,D,32000000.0,31504633.0,60740827.0,7.4,213918,1149.0,81.0,450.0,7.5,158359.0,7.2,19467.0,7.9,33.0,7.5,34097.0,7.4,111831.0,7.5,28652.0,170868,36616,6434,0.8,1
Lord of War,2005,USA, Germany, France,"English, Ukrainian, German, Spanish, Russian, French, Arabic, Turkish",122,Action, Crime, Drama,Entertainment Manufacturing Company,Andrew Niccol,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,Nicolas Cage,A,Bridget Moynahan,D,Jared Leto,C,50000000.0,24149632.0,72617068.0,7.6,281772,468.0,62.0,164.0,7.6,215172.0,7.4,20293.0,7.5,52.0,7.7,59850.0,7.6,145912.0,7.2,23681.0,240377,37541,3854,0.85,1
Æon Flux,2005,USA, Germany, Brazil,English,93,Action, Adventure, Crime,Paramount Pictures,Karyn Kusama,"Aeon Flux is a mysterious assassin working for the Monicans, a group of rebels trying to overthrow the government. When she is sent on a mission to kill the Chairman, a whole new mystery is found.",Charlize Theron,A,Marton Csokas,D,Jonny Lee Miller,D,62000000.0,25874337.0,52304001.0,5.4,120336,547.0,36.0,182.0,5.4,86481.0,5.8,15224.0,4.5,16.0,5.5,18730.0,5.4,63823.0,5.7,17096.0,36851,67248,16237,0.31,0
Munich,2005,France, Canada, USA,"English, German, French, Hebrew, Arabic, Italian, Greek, Russian, Dutch",164,Biography, Crime, Drama,DreamWorks,Steven Spielberg,"Based on the true story of the Black September aftermath, about the five men chosen to eliminate the ones responsible for that fateful day.",Eric Bana,C,Daniel Craig,A,Ciarán Hinds,D,70000000.0,47403685.0,130358645.0,7.5,201419,843.0,74.0,312.0,7.6,150391.0,7.3,17127.0,8.1,27.0,7.6,31031.0,7.5,107440.0,7.4,25963.0,168323,28034,5062,0.84,1
Elektra,2005,Canada, USA, Switzerland,"English, Japanese",97,Action, Adventure, Crime,Twentieth Century Fox,Rob Bowman,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",Jennifer Garner,C,Goran Visnjic,D,Kirsten Zien,D,43000000.0,24409722.0,56681566.0,4.7,83621,395.0,34.0,201.0,4.6,56567.0,5.2,11521.0,3.3,43.0,4.7,17234.0,4.6,38522.0,5.2,10456.0,17614,45782,20225,0.21,0
The Interpreter,2005,UK, France, Germany,"Aboriginal, English, French, Portuguese",128,Crime, Mystery, Thriller,Universal Pictures,Sydney Pollack,"Political intrigue and deception unfold inside the United Nations, where a U.S. Secret Service agent is assigned to investigate an interpreter who overhears an assassination plot.",Nicole Kidman,A,Sean Penn,C,Catherine Keener,D,80000000.0,72708161.0,162944923.0,6.4,94063,417.0,62.0,230.0,6.4,62155.0,6.5,15485.0,6.8,4.0,6.5,10437.0,6.4,49635.0,6.4,16426.0,48959,41984,3120,0.52,0
King Kong,2005,New Zealand, USA, Germany,English,187,Action, Adventure, Drama,Universal Pictures,Peter Jackson,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",Naomi Watts,C,Jack Black,A,Adrien Brody,D,207000000.0,218080025.0,550517357.0,7.2,373254,2670.0,81.0,459.0,7.2,258563.0,6.9,42516.0,7.4,236.0,7.3,91043.0,7.1,161942.0,7.1,38950.0,274377,83862,15015,0.74,1
Kingdom of Heaven,2005,UK, Germany, Spain,"English, Arabic, Latin, Italian",144,Action, Adventure, Drama,Twentieth Century Fox,Ridley Scott,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people.",Martin Hancock,D,Michael Sheen,D,Nathalie Cox,D,130000000.0,47398413.0,211652051.0,7.2,254276,989.0,63.0,225.0,7.2,182193.0,7.0,26380.0,7.5,51.0,7.4,55002.0,7.1,119868.0,7.1,27378.0,191541,55195,7540,0.75,1
Sahara,2005,UK, Spain, Germany,"English, French, Arabic",124,Action, Adventure, Comedy,Paramount Pictures,Breck Eisner,"Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the ""Ship of Death"" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator.",Jude Akuwudike,D,Mark Aspinall,D,Rakie Ayola,D,130000000.0,68671925.0,119240351.0,6.0,87993,483.0,41.0,156.0,6.0,61389.0,6.0,11130.0,5.5,14.0,6.1,16095.0,5.9,41222.0,6.1,13506.0,36362,45204,6427,0.41,0
Alone in the Dark,2005,Canada, Germany, USA,English,96,Action, Horror, Sci-Fi,AITD Productions,Uwe Boll,A detective of the paranormal slowly unravels mysterious events with deadly results.,Christian Slater,D,Tara Reid,D,Stephen Dorff,D,20000000.0,5178569.0,12693645.0,2.4,40764,528.0,9.0,152.0,2.3,30349.0,2.6,3339.0,1.8,4.0,2.1,4688.0,2.3,23367.0,2.8,5198.0,2985,6837,30942,0.07,0
A Sound of Thunder,2005,Czech Republic, UK, Germany,"English, Mandarin",101,Action, Adventure, Horror,Franchise Pictures,Peter Hyams,When a scientist sent back to the prehistoric era strays off the path he causes a chain of events that alters history in disastrous ways.,Armin Rohde,D,Heike Makatsch,D,Jemima Rooper,D,80000000.0,1900451.0,11665465.0,4.2,18293,309.0,24.0,116.0,4.2,13466.0,4.8,1650.0,5.2,4.0,4.4,1676.0,4.0,8798.0,4.6,4483.0,3055,8082,7156,0.17,0
White Noise,2005,UK, Canada, USA,English,101,Drama, Horror, Mystery,Universal Pictures,Geoffrey Sax,An architect's desire to speak with his wife from beyond the grave becomes an obsession with supernatural repercussions.,Michael Keaton,A,Chandra West,D,Deborah Kara Unger,D,10000000.0,56386759.0,91196419.0,5.5,45835,394.0,30.0,176.0,5.5,30693.0,5.5,7326.0,5.8,4.0,5.5,5642.0,5.5,24949.0,5.6,6900.0,12812,26831,6192,0.28,0
Unleashed,2005,France, USA, UK,English,103,Action, Crime, Drama,EuropaCorp,Louis Leterrier,A man enslaved by the mob since childhood and raised into behaving like a human attack dog escapes his captors and attempts to start a new life.,Jet Li,B,Morgan Freeman,A,Bob Hoskins,D,45000000.0,24537621.0,50871113.0,7.0,95229,309.0,58.0,183.0,7.0,72685.0,7.1,6904.0,7.5,11.0,7.2,17114.0,7.0,51987.0,6.8,8951.0,68611,24252,2366,0.72,1
The Brothers Grimm,2005,USA, Czech Republic, UK,"English, French, German, Italian",118,Action, Adventure, Comedy,Dimension Films,Terry Gilliam,Will and Jake Grimm are traveling con-artists who encounter a genuine fairy-tale curse which requires true courage instead of their usual bogus exorcisms.,Petr Ratimec,D,Barbora Lukesová,D,Anna Rust,D,88000000.0,37916267.0,105316267.0,5.9,112085,503.0,51.0,241.0,5.9,70374.0,6.2,22493.0,6.7,27.0,6.0,21222.0,5.9,55250.0,5.9,14533.0,42145,60699,9241,0.38,0
The Queen,2006,UK, USA, France,"English, German, French",103,Biography, Drama, History,Pathé Pictures International,Stephen Frears,After the death of,Helen Mirren,B,James Cromwell,D,Alex Jennings,D,12348000.0,56441711.0,123384128.0,7.3,99271,446.0,91.0,271.0,7.2,59144.0,7.3,22968.0,7.4,29.0,7.2,16386.0,7.2,45486.0,7.5,18692.0,78357,18561,2353,0.79,1
Marie Antoinette,2006,USA, France, Japan,"English, Latin, French",123,Biography, Drama, History,Columbia Pictures,Sofia Coppola,"The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 15 to her reign as queen at 19 and to the end of her reign as queen, and ultimately the fall of Versailles.",Kirsten Dunst,C,Jason Schwartzman,D,Judy Davis,D,40000000.0,15962471.0,60917189.0,6.4,94778,660.0,65.0,255.0,6.3,41844.0,6.6,35696.0,6.1,46.0,6.6,21472.0,6.3,42884.0,6.2,11482.0,51163,36326,7289,0.54,0
Doogal,2006,USA, UK, France,English,85,Animation, Adventure, Comedy,The Weinstein Company,"Dave Borthwick, Jean Duval","This is the story of Doogal, an adorable candy-loving mutt who goes on a mission to save the world. Doogal must prevent the evil sorcerer Zeebad from freezing the Earth forever with the ...",Daniel Tay,D,Jimmy Fallon,D,Christian M Garland,D,20000000.0,7438000.0,27450189.0,2.8,4403,116.0,23.0,30.0,2.6,2709.0,3.2,790.0,2.4,8.0,2.5,967.0,2.7,1747.0,3.3,705.0,771,778,2854,0.18,0
Lucky Number Slevin,2006,Germany, UK, USA,English,110,Crime, Drama, Mystery,The Weinstein Company,Paul McGuigan,A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses: The Rabbi and The Boss. Slevin is under constant surveillance by relentless Detective Brikowski as well as the infamous assassin Goodkat and finds himself having to hatch his own ingenious plot to get them before they get him.,Josh Hartnett,D,Bruce Willis,A,Lucy Liu,D,27000000.0,22495466.0,56308881.0,7.7,290857,533.0,53.0,195.0,7.7,216979.0,7.8,28907.0,8.2,32.0,7.9,62088.0,7.7,153961.0,7.4,23764.0,254728,32478,3651,0.88,1
The Abandoned,2006,Spain, UK, Bulgaria,"English, Russian",99,Horror, Mystery, Thriller,Castelao Producciones,Nacho Cerdà,An adopted woman returns to her home country and the family home that she never knew and must face the mystery that lies there.,Anastasia Hille,D,Karel Roden,D,Valentin Ganev,D,3300000.0000000005,1653012.0,4529892.0,5.6,12134,157.0,42.0,88.0,5.6,8074.0,5.4,2305.0,6.5,2.0,5.3,1349.0,5.6,6636.0,5.6,2312.0,4428,5731,1975,0.36,0
Miami Vice,2006,USA, Germany, Paraguay,"English, Spanish",132,Action, Crime, Thriller,Universal Pictures,Michael Mann,"Based on the 1980s TV action/drama, this update focuses on vice detectives Crockett and Tubbs as their respective personal and professional lives become dangerously intertwined.",Colin Farrell,A,Jamie Foxx,A,Li Gong,D,135000000.0,63450470.0,163794509.0,6.0,105066,961.0,65.0,248.0,6.0,79923.0,5.6,6918.0,6.7,14.0,6.0,12484.0,6.0,58824.0,5.9,13879.0,44883,48321,11862,0.43,0
Smokin' Aces,2006,UK, France, USA,English,109,Action, Crime, Drama,Universal Pictures,Joe Carnahan,"When a Las Vegas performer-turned-snitch named Buddy Israel decides to turn state's evidence and testify against the mob, it seems that a whole lot of people would like to make sure he's no longer breathing.",Ryan Reynolds,A,Ray Liotta,D,Joseph Ruskin,D,17000000.0,35787686.0,57103895.0,6.7,132692,492.0,45.0,180.0,6.7,103016.0,6.7,10021.0,6.2,13.0,6.8,21214.0,6.7,76299.0,6.5,13306.0,82517,43108,7067,0.62,1
United 93,2006,USA, UK, France,"English, Arabic, German",111,Drama, History, Thriller,Universal Pictures,Paul Greengrass,"A real-time account of the events on United Flight 93, one of the planes hijacked on September 11th, 2001 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",J.J. Johnson,D,Gary Commock,D,Polly Adams,D,15000000.0,31483450.0,76286096.0,7.5,94243,855.0,90.0,289.0,7.5,69375.0,7.4,8647.0,8.1,27.0,7.6,16438.0,7.4,46929.0,7.6,13483.0,74808,13769,5666,0.79,1
Stormbreaker,2006,UK, USA, Germany,English,93,Action, Adventure, Family,Samuelson Productions,Geoffrey Sax,"After the death of his uncle, the 14-year-old schoolboy Alex Rider is forced by the Special Operations Division of the UK's secret intelligence service, MI6, into a mission which will save millions of lives.",Sarah Bolger,D,Robbie Coltrane,B,Stephen Fry,D,40000000.0,677646.0,23937870.0,5.1,22503,186.0,42.0,66.0,4.9,13623.0,5.6,4989.0,5.2,10.0,5.1,7599.0,4.9,7841.0,5.3,2733.0,6190,12429,3884,0.28,0
Eragon,2006,USA, UK, Hungary,English,104,Action, Adventure, Family,Fox 2000 Pictures,Stefen Fangmeier,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king.",Ed Speleers,D,Jeremy Irons,C,Sienna Guillory,D,100000000.0,75030163.0,249488115.0,5.1,118326,1713.0,38.0,182.0,5.0,76244.0,5.6,23115.0,4.1,41.0,5.0,35333.0,5.1,49419.0,5.5,12109.0,32320,58646,27360,0.27,0
RV,2006,UK, Germany, USA,English,99,Adventure, Comedy, Family,Columbia Pictures,Barry Sonnenfeld,"Bob Munro and his dysfunctional family rent an RV for a road trip to the Colorado Rockies, where they ultimately have to contend with a bizarre community of campers.",Robin Williams,A,Cheryl Hines,D,JoJo,D,50000000.0,71726025.0,87528173.0,5.5,53793,262.0,33.0,105.0,5.4,34340.0,5.7,9864.0,5.9,25.0,5.5,14659.0,5.4,20918.0,5.7,7323.0,17402,29665,6726,0.32,0
The Wicker Man,2006,USA, Mexico, Canada,English,102,Horror, Mystery, Thriller,Warner Bros.,Neil LaBute,"A sheriff investigating the disappearance of a young girl from a small island discovers there's a larger mystery to solve among the island's secretive, neo-pagan community.",Nicolas Cage,A,Ellen Burstyn,D,Kate Beahan,D,40000000.0,23649127.0,38756278.0,3.7,61511,773.0,36.0,197.0,3.7,42749.0,3.8,8836.0,3.0,19.0,3.6,10597.0,3.7,31058.0,3.8,8999.0,7723,22815,30973,0.13,0
The Fast and the Furious: Tokyo Drift,2006,USA, Germany, Japan,"English, Japanese, Portuguese",104,Action, Crime, Thriller,Universal Pictures,Justin Lin,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,Lucas Black,D,Damien Marzette,D,Trula M. Marcus,D,85000000.0,62514415.0,158468292.0,6.0,225061,417.0,45.0,172.0,6.0,158100.0,6.1,21504.0,6.1,267.0,6.3,75361.0,5.7,83900.0,5.6,11346.0,100574,104917,19570,0.45,0
Mission: Impossible III,2006,USA, Germany, China,"English, Italian, Mandarin, Cantonese, German, Czech",126,Action, Adventure, Thriller,Paramount Pictures,J.J. Abrams,IMF Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancee in response.,Tom Cruise,A,Philip Seymour Hoffman,D,Ving Rhames,C,150000000.0,134029801.0,397850012.0,6.9,312460,898.0,66.0,333.0,6.9,225346.0,6.7,25911.0,7.1,251.0,7.0,71216.0,6.8,139202.0,6.8,30713.0,212907,90149,9404,0.68,1
"Paris, je t'aime",2006,France, Liechtenstein, Switzerland,"French, English, Spanish, Mandarin, Arabic",120,Comedy, Drama, Romance,Victoires International,"Olivier Assayas, Frédéric Auburtin","Through the neighborhoods of Paris, love is veiled, revealed, imitated, sucked dry, reinvented and awakened.",Fanny Ardant,D,Julie Bataille,D,Leïla Bekhti,D,13000000.0,4899278.0,17471727.0,7.3,68572,129.0,66.0,160.0,7.2,38507.0,7.4,20690.0,5.0,3.0,7.3,14594.0,7.3,37005.0,7.1,6836.0,53200,13511,1861,0.78,1
Charlotte's Web,2006,USA, Germany, Australia,English,97,Comedy, Family, Fantasy,Paramount Pictures,Gary Winick,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.",Julia Roberts,A,Steve Buscemi,B,John Cleese,D,85000000.0,82985708.0,144877632.0,6.3,34446,108.0,68.0,115.0,6.2,17313.0,6.5,10180.0,5.8,49.0,6.1,9959.0,6.3,11856.0,6.6,4692.0,17035,15467,1944,0.49,0
Casino Royale,2006,UK, Czech Republic, USA,"Serbian, German, Italian, English, French",144,Action, Adventure, Thriller,Columbia Pictures,Martin Campbell,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high stakes game of poker at Casino Royale, Montenegro.",Daniel Craig,A,Eva Green,C,Mads Mikkelsen,B,150000000.0,167445960.0,609447995.0,8.0,547795,2345.0,80.0,340.0,8.0,388781.0,7.7,52931.0,8.4,306.0,8.0,133600.0,7.9,238725.0,7.8,53256.0,490559,47729,9507,0.9,1
Southland Tales,2006,France, Germany, USA,English,145,Comedy, Drama, Mystery,Universal Pictures,Richard Kelly,"During a three day heat wave just before a huge 4th of July celebration, an action star stricken with amnesia meets up with a porn star who is developing her own reality TV project, and a policeman who holds the key to a vast conspiracy.",Carlos Amezcua,D,Curtis Armstrong,D,Robert Benz,D,17000000.0,275380.0,374743.0,5.4,35533,249.0,44.0,183.0,5.4,27449.0,5.3,2892.0,3.4,9.0,5.5,3498.0,5.5,21803.0,5.0,4759.0,14873,12344,8316,0.42,0
Zwartboek,2006,Netherlands, Germany, UK,"Dutch, German, English, Hebrew",145,Drama, Thriller, War,Fu Works,Paul Verhoeven,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",Carice van Houten,D,Sebastian Koch,D,Thom Hoffman,D,21000000.0,4398532.0,26768563.0,7.7,69381,244.0,71.0,236.0,7.7,49550.0,7.8,9402.0,8.0,8.0,7.7,9019.0,7.8,36145.0,7.7,12843.0,60902,7145,1334,0.88,1
Curious George,2006,USA, Germany, Taiwan,English,87,Animation, Adventure, Comedy,Imagine Entertainment,Matthew O'Callaghan,"The Man in the Yellow Hat is an oddball museum employee who looks after his pet monkey, an inquisitive and wonderful creature whose enthusiasm often gets the best of him.",Frank Welker,D,Will Ferrell,A,Shane Baumel,D,50000000.0,58360760.0,69834815.0,6.5,14714,121.0,62.0,88.0,6.4,9046.0,6.8,3028.0,6.5,28.0,6.5,3501.0,6.5,6153.0,6.3,2086.0,8553,5319,842,0.58,0
300,2006,USA, Canada, Bulgaria,English,117,Action, Drama, Fantasy,Warner Bros.,Zack Snyder,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Gerard Butler,A,Lena Headey,D,Dominic West,D,65000000.0,210614939.0,456068181.0,7.7,702777,2142.0,52.0,463.0,7.7,502919.0,7.5,71910.0,7.4,292.0,7.6,172379.0,7.7,326944.0,7.5,54024.0,570927,95274,36576,0.81,1
Barnyard,2006,USA, Germany, Netherlands,English,90,Animation, Adventure, Comedy,O Entertainment,Steve Oedekerk,"When the farmer's away, all the animals play, and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow.",Kevin James,A,Courteney Cox,D,Sam Elliott,D,51000000.0,72637803.0,116476887.0,5.5,25733,169.0,42.0,100.0,5.6,16308.0,5.5,4542.0,5.8,61.0,5.4,7699.0,5.6,9454.0,5.6,2974.0,8746,13318,3669,0.34,0
I'm Not There,2007,Germany, Canada, USA,English,135,Biography, Drama, Music,Killer Films,Todd Haynes,Ruminations on the life of,Cate Blanchett,A,Ben Whishaw,C,Christian Bale,A,20000000.0,4017609.0,11792542.0,6.9,54579,236.0,73.0,230.0,6.9,34962.0,7.0,11065.0,7.0,11.0,7.2,11446.0,6.9,27390.0,6.5,6603.0,37236,13970,3373,0.68,1
Hannibal Rising,2007,UK, Czech Republic, France,"English, German, Russian",121,Adventure, Crime, Drama,Young Hannibal Productions,Peter Webber,"After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death.",Aaran Thomas,D,Gaspard Ulliel,D,Li Gong,D,50000000.0,27670986.0,82169884.0,6.2,99181,412.0,35.0,113.0,6.1,68160.0,6.5,15245.0,6.1,24.0,6.3,22826.0,6.1,48700.0,6.1,9966.0,47020,44363,7798,0.47,0
Tropa de Elite,2007,Brazil, USA, Argentina,"Greek, Latin, French, English, German, Italian, Spanish, Portuguese",115,Action, Crime, Drama,Zazen Produções,José Padilha,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",Wagner Moura,D,André Ramiro,D,Caio Junqueira,D,4000000.0,8744.0,14067078.0,8.1,93624,121.0,33.0,145.0,8.1,74967.0,8.1,6172.0,8.2,29.0,8.1,19233.0,8.1,51992.0,7.8,7895.0,85007,6856,1761,0.91,1
The Last Legion,2007,UK, France, Slovakia,English,101,Action, Adventure, War,Dino De Laurentiis Company,Doug Lefler,"As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.",Colin Firth,A,Ben Kingsley,A,Aishwarya Rai Bachchan,D,35000000.0,5933494.0,25303038.0,5.4,33030,178.0,37.0,91.0,5.4,24376.0,5.9,3841.0,7.1,8.0,5.6,5768.0,5.2,15957.0,5.7,5937.0,9484,18562,4984,0.29,0
Cassandra's Dream,2007,USA, UK, France,English,108,Crime, Drama, Romance,Iberville Productions,Woody Allen,"The tale of two brothers with serious financial woes. When a third party proposes they turn to crime, things go badly and the two become enemies.",Ewan McGregor,A,Colin Farrell,A,Peter-Hugo Daly,D,16380000.0,973018.0,22659793.0,6.7,48469,143.0,49.0,159.0,6.7,33574.0,6.7,8047.0,6.4,5.0,6.8,6487.0,6.7,27043.0,6.6,7622.0,30025,16638,1806,0.62,1
The Water Horse,2007,New Zealand, UK, Australia,English,112,Adventure, Family, Fantasy,Revolution Studios,Jay Russell,A lonely boy discovers a mysterious egg that hatches a sea creature of Scottish legend.,Bruce Allpress,D,Geraldine Brophy,D,Eddie Campbell,D,40000000.0,40946255.0,103071337.0,6.4,36215,99.0,71.0,102.0,6.4,21398.0,6.7,8816.0,6.5,28.0,6.4,11119.0,6.4,13309.0,6.6,4915.0,19557,14934,1724,0.54,0
Eastern Promises,2007,UK, Canada, USA,"English, Russian, Turkish, Ukrainian, Urdu",100,Action, Crime, Drama,Kudos Film and Television,David Cronenberg,A Russian teenager living in London who dies during childbirth leaves clues to a midwife in her journal that could tie her child to a rape involving a violent Russian mob family.,Josef Altin,D,Mina E. Mina,D,Aleksandar Mikic,D,31500000.0,17266000.0,56107312.0,7.6,217448,425.0,82.0,281.0,7.6,161770.0,7.6,22269.0,7.7,30.0,7.7,38512.0,7.6,116809.0,7.6,25483.0,187152,27168,3128,0.86,1
Atonement,2007,UK, France, USA,"English, French",123,Drama, Mystery, Romance,Universal Pictures,Joe Wright,"Fledgling writer Briony Tallis, as a thirteen-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",Saoirse Ronan,D,Ailidh Mackay,D,Brenda Blethyn,D,30000000.0,50927067.0,129266061.0,7.8,232837,630.0,85.0,327.0,7.7,117738.0,7.9,74232.0,8.4,111.0,7.9,58588.0,7.7,104630.0,7.5,23864.0,198565,28732,5540,0.85,1
"Se, jie",2007,USA, China, Taiwan,"Mandarin, Japanese, English, Shanghainese, Hindi, Cantonese",157,Drama, History, Romance,Haishang Films,Ang Lee,"During World War II era, a young woman, Wang Jiazhi, gets swept up in a dangerous game of emotional intrigue with a powerful political figure, Mr. Yee.",Tony Chiu-Wai Leung,D,Wei Tang,D,Joan Chen,D,15000000.0,4604982.0,67091915.0,7.5,35204,157.0,61.0,186.0,7.5,22510.0,7.7,7041.0,7.3,6.0,7.7,4338.0,7.5,18424.0,7.5,6416.0,29302,4929,973,0.83,1
Funny Games,2007,USA, France, UK,English,111,Crime, Drama, Thriller,Celluloid Dreams,Michael Haneke,Two psychopathic young men take a family hostage in their cabin.,Naomi Watts,C,Tim Roth,D,Michael Pitt,D,15000000.0,1294919.0,7938872.0,6.5,85453,502.0,44.0,261.0,6.5,56483.0,6.6,15026.0,7.9,40.0,6.7,20434.0,6.5,41362.0,6.2,8156.0,49035,26744,9674,0.57,0
4: Rise of the Silver Surfer,2007,USA, Germany, UK,"English, Japanese, Chinese, Arabic",92,Action, Adventure, Fantasy,Twentieth Century Fox,Tim Story,The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,Ioan Gruffudd,C,Jessica Alba,B,Chris Evans,A,130000000.0,131921738.0,289047763.0,5.6,242270,458.0,45.0,257.0,5.5,171440.0,5.8,27117.0,5.3,191.0,5.6,65816.0,5.5,103159.0,5.8,22429.0,74626,140501,27143,0.31,0
Hairspray,2007,USA, UK, Canada,English,117,Comedy, Drama, Musical,New Line Cinema,Adam Shankman,Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,John Travolta,A,Michelle Pfeiffer,A,Christopher Walken,B,75000000.0,118871849.0,202548575.0,6.6,114621,414.0,81.0,215.0,6.5,48540.0,6.8,44489.0,7.0,77.0,6.6,34015.0,6.6,43807.0,6.7,12418.0,73609,32829,8183,0.64,1
Blood and Chocolate,2007,USA, UK, Germany,"English, Romanian",98,Drama, Fantasy, Horror,Metro-Goldwyn-Mayer (MGM),Katja von Garnier,A young teenage werewolf is torn between honoring her family's secret and her love for a man.,Agnes Bruckner,D,Hugh Dancy,D,Olivier Martinez,D,15000000.0,3526847.0,6340723.0,5.5,16747,193.0,33.0,103.0,5.2,7891.0,5.9,6503.0,6.0,2.0,5.9,3746.0,5.3,8134.0,5.4,2319.0,5739,8236,2772,0.34,0
